yield	hybrid	nitrogen
130	P3747	0
150	P3747	70
170	P3747	140
165	P3747	210
125	P3732	0
150	P3732	70
160	P3732	140
165	P3732	210
110	Mol17	0
140	Mol17	70
155	Mol17	140
150	Mol17	210
115	A632	0
140	A632	70
160	A632	140
140	A632	210
115	LH74	0
170	LH74	70
160	LH74	140
170	LH74	210
135	P3747	0
170	P3747	70
190	P3747	140
185	P3747	210
150	P3732	0
160	P3732	70
180	P3732	140
200	P3732	210
135	Mol17	0
155	Mol17	70
165	Mol17	140
175	Mol17	210
130	A632	0
150	A632	70
175	A632	140
170	A632	210
145	LH74	0
180	LH74	70
195	LH74	140
200	LH74	210
